7. 6464 Canoga Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,364 SF,,,364 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. 2215 S Wellesley Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proposal property type,,,,,Apartment,,,,The proposal property type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building construction type,,,,,4.Type III/I,,,,"The building’s structural material and fire-resistance classification (e.g., Type V – wood, Type III – mixed, Type I – concrete/steel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lot Size (GSF),,,,,"6,337",,SF,,Lot Size / Parcel Area / Plot Area : The total land parcel area for the existing office site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAR,,,,,5.6,,,,The ratio of Gross Floor Area (GFA) to Lot Size for the proposed apartment project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Floor Area (GFA),,,,,"35,076",,SF,,"The total usable floor area that counts toward zoning FAR, excluding shafts, mechanical/electrical rooms, & other exempt spaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Building Area (GBA),,,,,"42,527",,SF,,"The total area of the proposed apartment measured to exterior walls, including all enclosed spaces before FAR exclusion (CBC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories,,,,,7,,,,The number of floors in the existing office.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Typical floor plate area (GSF),,,,,"6,075",,SF,,"The gross area of one standard floor in the proposed apartment, representing a typical level footprint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentable area,,,,,"26,591",,SF,,The portion of the proposed apartment building that can be leased or rented to tenants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Building Area (GBA),,,,,"42,527",,SF,,"The total area of the proposed apartment measured to exterior walls, including all enclosed spaces before FAR exclusions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net-to-Gross ratio,,,,,62.50%,,,,"The efficiency ratio of the proposed apartment, calculated as Rentable Area ÷ Gross Building Area (GBA).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Area,,,,,,,,% GBA,,,Building Area,,,Floor Area,,,GSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling Units,,,,,,,,62.50%,,,"26,591 SF",,,"26,591 SF",,,"26,591 SF",,,,,,,,,,,,,,,62.50%,,,,,,,,,,,,,,,,,,,
,Retail,,,,,,,,0.00%,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Circulation,,,,,,,,14.70%,,,"6,269 SF",,,"4,494 SF",,,"7,124 SF",,,,,,,,,,,,,,,14.70%,,,,,,,,,,,,,,,,,,,
,Support Areas,,,,,,,,7.70%,,,"3,258 SF",,,"2,308 SF",,,"3,376 SF",,,,,,,,,,,,,,,7.70%,,,,,,,,,,,,,,,,,,,
,Staff / Management,,,,,,,,1.60%,,,683 SF,,,623 SF,,,683 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Indoor,,,,,,,,2.50%,,,"1,060 SF",,,"1,060 SF",,,"1,060 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Outdoor,,,,,,,,0.00%,,,-,,,-,,,"1,650 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking & Vehicle Access Areas,,,,,,,,0.90%,,,400 SF,,,-,,,400 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low Voltage,,,,,,,,0.80%,,,343 SF,,,-,,,343 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry Utilities,,,,,,,,3.30%,,,"1,412 SF",,,-,,,"1,412 SF",,,,,,,,,,,,,,,3.30%,,,,,,,,,,,,,,,,,,,
,Back of House – Electrical,,,,,,,,2.10%,,,904 SF,,,-,,,904 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Mechanical,,,,,,,,0.00%,,,-,,,-,,,255 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Plumbing,,,,,,,,2.90%,,,"1,243 SF",,,-,,,"1,243 SF",,,,,,,,,,,,,,,2.90%,,,,,,,,,,,,,,,,,,,
,Back of House – Fire Sprinkler,,,,,,,,0.90%,,,364 SF,,,-,,,364 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,100%,,,"42,527 SF",,,"35,076 SF",,,"45,405 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Height and Story Distribution Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building height type,,,,,3. High-Rise,,,,"The building height type for the proposed apartment (e.g., Low-Rise, Mid-Rise, High-Rise).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Above grade height,,,,,,75,FT,,The building height of the proposed apartment from ground level to roof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building height - Below grade,,,,,,-,FT,,The building height of the proposed apartment from the lowest occupied basement floor to the ground level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of building height,,,,,,75,FT,,The building height (above-grade and subterranean).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (Above Grade),,,,,,7,,,The number of above-ground floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (Below Grade),,,,,,0,,,The number of underground or basement floors for parking in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of stories,,,,,,7,,,Total number of floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for dwelling units),,,,,,4.8,,,Floors used for residential dwelling units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for mix use),,,,,,2.2,,,Floors used for mixed-use spaces (support area + indoor amenities + management…),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for parking),,,,,,-,,,Floors allocated for parking + spaces/rooms in basements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30%,,,0.80%,,,,,,
,Total of stories,,,,,,7,,,Total number of floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (podium parking),,,,,,-,,,Number of above-ground podium parking floors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (underground parking),,,,,,-,,,Number of underground or basement parking floors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for parking),,,,,,-,,,Floors allocated for parking + spaces/rooms in basements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parking & Vehicle Access Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surface parking stalls,,,,,0,Stall(s),,,Number of parking stalls located on ground level (open surface).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Podium parking stalls,,,,,0,Stall(s),,,Number of parking stalls located above ground within the building podium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Underfround parking stalls,,,,,0,Stall(s),,,Number of parking stalls located below ground level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leased parking stalls,,,,,-,Stall(s),,,Number of parking stalls rented externally from other properties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking stall (req),,,,,0,Stall(s),,,Total number of parking stalls required by zoning or code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential parking stall (req),,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retail parking stall (req),,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking stall (req),,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EV parking stall,,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard parking stall,,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking stall (req),,,,,0,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ref. parking code:,,,AB 2097: Within ½ mi of a “major transit stop”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unit,,,,,Qty,,Stalls/unit,,Req. Stalls,,,Parking & Vehicle Access Areas,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio,,,,,20,,0,,0,,,Parking - Indoor,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Bedroom,,,,,30,,0,,0,,,Parking - Surface Lot,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom,,,,,0,,0,,0,,,Loading Dock,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom,,,,,1,,0,,0,,,Temp Loading Zone / Ride-share,,,,,,TRUE,400 SF,,,400 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential parking stall (required),,,,,,,,,0,,,Total,,,,,,,400 SF,,,400 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Is affordable project?,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Has W/D in dwelling unit?,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type of Residential Unit,,,,,2. Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of bedroom,,,,,33,,Bedroom(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of dwelling unit,,,,,51,,Unit(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of res. occupants,,,,,108,,People(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of dwelling unit/floor,,,,,11,,DU/Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling unit,,,Qty of unit,,Bedrooms,,People/Unit,,Occupants,,% Occupant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio,,,20,,0,,2,,40,,37.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Bedroom,,,30,,30,,2,,60,,56.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom,,,0,,0,,4,,0,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom,,,1,,3,,6,,6,,5.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,51,,33,,,,106,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling units,,,,,,,,Has?,% SF,,,NSF,,,Unit Count,,,Room Size,,,Width,,,Depth,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio + 1 Bath (Typical),,,,,,,,TRUE,34.30%,,,"9,128 SF",,,20,,,456 SF,,,17.2 FT,,,26.5 FT,,,,,,,39.20%,34.30%,,,,,,,,,,,,,,,,,,,
,1 Bedroom + 1 Bath (Typical),,,,,,,,TRUE,61.60%,,,"16,382 SF",,,30,,,546 SF,,,22.3 FT,,,24.5 FT,,,,,,,58.80%,61.60%,,,,,,,,,,,,,,,,,,,
,2 Bedroom + 2 Bath (Typical),,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom + 1 Bath,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom + 2 Bath + Powder,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom + 2 Bath,,,,,,,,TRUE,4.10%,,,"1,081 SF",,,1,,,"1,081 SF",,,40.9 FT,,,26.4 FT,,,,,,,,4.10%,,,,,,,,,,,,,,,,,,,
,3 Bedroom + 2 Bath + Powder,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,100%,,,"26,591 SF",,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential corridor width,,,,,60,,IN,,The clear width of the residential corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vestibule - Stair SF/FL,,,,,119,,SF/floor,,The net floor area of stair vestibules on a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator -Passenger SF/floor,,,,,121,,SF/floor,,The net floor area occupied by passenger elevator shafts on a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator - Freight SF/floor,,,,,-,,SF/floor,,The net floor area occupied by freight elevator shafts in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stair SF/floor,,,,,252,,SF/floor,,The net floor area occupied by stair shafts in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of Elevator - Passenger,,,,,2,,,,The total number of passenger elevators in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of Elevator - Freight,,,,,-,,,,The total number of freight elevators in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of Stair,,,,,3,,,,The total number of stairs in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Circulation,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corridor - Residential,,,,,,,,TRUE,"2,617 SF",,,"2,617 SF",,,"2,617 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.80%
,Vestibule - Elevator Lobby,,,,,,,,TRUE,"1,043 SF",,,"1,043 SF",,,"1,043 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.60%
,Vestibule - Stair,,,,,,,,TRUE,834 SF,,,834 SF,,,834 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30%
,Vestibule - Entry Wind Lobby,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Elevator - Passenger,,,,,,,,TRUE,856 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Elevator - Freight,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Stair,,,,,,,,TRUE,"1,775 SF",,,"1,775 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.30%
,Wheelchair Lift,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"7,124 SF",,,"6,269 SF",,,"4,494 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Has trash chute?,,,,,,,,TRUE,Indicates whether the apartment building design includes vertical trash chute system for waste disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of bicycle repair area,,,,,1,,,,Number of designated bicycle repair areas provided within the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle parking - short term,,,,,4,,Stall(s),,Number of short-term bicycle parking spaces located near building entrances for visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle parking - long term,,,,,34,,Stall(s),,Number of long-term bicycle parking spaces in secure or covered areas for residents or staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of W&D in com. laundry rm.,,,,,6,,W&D,,Number of washer and dryer units installed in the common laundry room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parcel locker comp. (req),,,,,10,,locker(s),,Number of required parcel locker compartments provided for package deliveries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant modules,,,,,5,,module(s),,Number of tenant-specific modular spaces or functional units included in the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage - General,,,,,2,,,,Number of general or maintenance storage rooms allocated within the building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage - Janitor's closet,,,,,4,,,,Number of janitorial storage closets provided for cleaning supplies and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of cold storage delivery rm.,,,,,1,,,,Number of cold storage delivery rooms available for perishable goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage Room - Parcel,,,,,1,,,,Number of parcel storage rooms designated for holding delivered packages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Support Areas,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle Repair Area,,,,,,,,TRUE,99 SF,,,99 SF,,,99 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%
,Bicycle Room,,,,,,,,TRUE,950 SF,,,950 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29%
,Common Laundry Room,,,,,,,,TRUE,314 SF,,,314 SF,,,314 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%
,Elevator Machine Rm. (Interior),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator Machine Rm (Roof),,,,,,,,TRUE,117 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entry Lobby,,,,,,,,TRUE,624 SF,,,624 SF,,,624 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%
,Mail Room / Mail Area,,,,,,,,TRUE,90 SF,,,90 SF,,,90 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Rm.- General,,,,,,,,TRUE,199 SF,,,199 SF,,,199 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%
,Storage Rm.- Janitor's Closet,,,,,,,,TRUE,143 SF,,,143 SF,,,143 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%
,Storage Rm. - Cold Storage Delivery Rm.,,,,,,,,TRUE,99 SF,,,99 SF,,,99 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%
,Storage Rm. - Parcels,,,,,,,,TRUE,99 SF,,,99 SF,,,99 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%
,Trash - Trash room at res. Floor (Typ.),,,,,,,,TRUE,276 SF,,,276 SF,,,276 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%
,Trash - Trash vestibules at res. floors (Typ.),,,,,,,,TRUE,229 SF,,,229 SF,,,229 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Trash - Recycling room,,,,,,,,TRUE,99 SF,,,99 SF,,,99 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%
,Trash - Compactor room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash - Compost room,,,,,,,,TRUE,38 SF,,,38 SF,,,38 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"3,376 SF",,,"3,258 SF",,,"2,308 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff / Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of leasing office,,,,,1,,,,Number of leasing office room provided for tenent services and leasing operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of manager's office,,,,,1,,,,Number of manager's office rooms designated for on-site building management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of cameras,,,,,14,,,,Number of security cameras installed within the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of staff lockers & showers,,,,,2,,,,Number of locker and shower facilities provided for building staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff / Management,,,,,,,Color,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leasing Office,,,,,,,,TRUE,99 SF,,,99 SF,,,99 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%
,Manager's Office,,,,,,,,TRUE,99 SF,,,99 SF,,,99 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%
,Parking Control Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CCTV / IT / Security Equipment rm,,,,,,,,TRUE,60 SF,,,60 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%
,Staff Break Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff Lockers & Showers,,,,,,,,TRUE,363 SF,,,363 SF,,,363 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53%
,Staff Restroom,,,,,,,,TRUE,61 SF,,,61 SF,,,61 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%
,Total,,,,,,,,,683 SF,,,683 SF,,,623 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open space analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirement:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space (req),,,,,"1,941 SF",,,,The total area of shared outdoor or indoor open space required by LAMC for all residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private open space,,,,,"2,550 SF",,,,"The total area of balconies, patios, or other open spaces reserved for the exclusive use of individual dwelling units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
